100.0
5.1,12.27
8.32,14.72
6.79,11.1
5.17,15.54
6.75,12.17
4.18,15.52
2.68,11.6
2.87,11.25
5.35,13.25
6.52,11.12
8.06,11.26
7.98,14.89
7.76,10.3
7.18,10.0
9.88,15.31
8.05,12.95
4.47,14.57
2.92,14.45
8.96,11.91
9.87,12.07
9.83,15.66
8.72,12.72
8.82,14.59
6.15,15.02
4.74,15.35
2.37,10.21
3.23,14.73
3.92,12.38
10.97,10.88
7.86,14.23
3.91,10.58
8.2,12.57
6.58,11.18
4.92,13.64
7.99,10.82
9.49,14.99
6.35,14.65
2.74,14.7
5.03,14.15
8.12,11.77
3.06,10.85
5.74,15.8
8.9,10.01
2.6,15.9
7.95,15.84
6.87,15.05
2.73,10.91
6.43,12.35
7.82,14.52
10.86,14.58
